1,0.17141,5.8033,0.18602,0.31668,0.15035,0.14333,98.949,107.99
2,0.75859,5.9306,0.16639,0.35618,0.26035,0.21508,87.485,84.995
3,0.99178,6.0374,0.32354,0.29943,0.2179,0.17564,129.68,7.2703
4,0.3153,5.4142,0.29539,0.76667,0.59584,0.46239,150.2,132.73
5,1.3559,5.9774,0.22986,0.58425,0.45078,0.3689,123.13,12.838
6,0.71413,5.6679,0.39728,0.31667,0.094427,0.09027,59.226,64.948
7,0.69128,5.4928,0.42191,0.2662,0.2267,0.16848,94.604,83.178
8,0.48821,5.109,0.4512,0.50395,0.41567,0.32595,126.77,168.6
9,1.6272,6.067,0.35367,0.33666,0.18992,0.16521,103.74,53.039
10,0.88324,5.4183,0.42028,0.2241,0.1813,0.15416,48.413,156.44
11,0.1075,4.6237,0.48501,0.25693,0.23053,0.1761,104.62,79.312
12,2.1803,6.4598,0.23239,0.19006,0.11531,0.098624,114.93,3.2028
13,2.0034,6.325,0.18506,0.33459,0.23073,0.18991,141.43,176.81
14,1.5949,5.4862,0.02497,1.1907,0.92467,0.73759,112.43,174.7
15,1.6639,5.8847,0.32967,0.24025,0.16876,0.14614,58.957,27.682
16,0.50261,4.8772,0.30062,0.15642,0.12313,0.097977,94.365,130.71
17,1.9813,5.9621,0.19047,0.51802,0.45873,0.3485,27.566,18.019
18,0.91155,5.2092,0.44031,0.28288,0.14144,0.13264,40.584,170.23
19,1.6164,5.6992,0.29003,0.21221,0.12734,0.11226,108.19,168.11
20,0.86262,4.1138,0.36959,1.6091,0.94663,0.80909,115.37,13.495
21,1.7637,5.7454,0.30354,0.17989,0.12875,0.10509,136.96,5.8376
22,0.9966,4.9983,0.36898,0.44579,0.34725,0.30132,83.2,44.612
23,2.2321,5.9016,0.20718,0.16301,0.088546,0.078083,138.86,18.349
24,2.4022,5.9303,0.23071,0.24778,0.11335,0.10543,56.816,153.27
25,2.3552,5.8155,0.21266,0.15955,0.12527,0.098559,35.054,175.7
26,2.1846,5.6213,0.21732,0.18053,0.12907,0.10606,66.093,152.79
27,0.12537,3.7247,0.58962,0.252,0.14766,0.12722,149.83,29.247
28,0.25546,3.7716,0.60002,0.15857,0.11379,0.090867,156.01,9.3809
29,1.5507,4.8469,0.32541,0.16709,0.11256,0.094406,79.09,52.057
30,1.9688,5.0701,0.33491,0.82255,0.57964,0.54082,83.217,59.934
31,0.39821,3.6203,0.6081,0.31296,0.21692,0.18326,91.125,95.82
32,0.84487,3.8256,0.5523,0.7001,0.33179,0.3089,101.21,18.169
33,1.546,4.6393,0.3546,0.16272,0.085445,0.076655,11.52,9.5433
34,0.49493,3.7299,0.58593,0.14975,0.083484,0.07261,138.08,15.488
35,1.8854,4.6737,0.43329,0.21778,0.14171,0.12144,118.56,165.36
36,0.6189,3.4597,0.73059,0.46008,0.29074,0.25028,52.687,139.94
37,1.9169,4.3341,0.276,1.069,0.49028,0.44701,146.33,9.4183
38,2.3224,4.8753,0.37276,0.11229,0.086873,0.068679,40.592,172.21
39,2.775,5.1826,0.32616,0.11038,0.073903,0.062015,56.461,1.3004
40,2.0563,4.6157,0.42021,0.19457,0.094958,0.085096,149.83,179.62
41,0.89534,3.5415,0.72703,0.27131,0.23382,0.19609,15.901,31.247
42,1.6782,4.1489,0.46277,0.17951,0.080542,0.075767,53.7,61.876
43,2.821,5.0968,0.32186,0.16029,0.13582,0.10578,122.28,64.425
44,1.0006,3.403,0.72479,0.26008,0.18649,0.15219,4.7559,145.25
45,0.80502,3.3133,0.70399,0.13578,0.10213,0.093735,68.263,116.52
46,1.6662,3.9492,0.45836,0.19434,0.11932,0.10467,16.732,20.937
47,1.8252,4.0787,0.43814,0.10561,0.089155,0.067974,13.974,176.83
48,1.5647,3.7085,0.45374,0.33311,0.19191,0.17077,45.798,174.57
49,1.4019,3.5801,0.49131,0.29131,0.17983,0.15389,74.405,130.5
50,1.8921,3.905,0.4189,0.30193,0.24705,0.19059,125.59,178.12
51,1.0419,3.2347,0.64282,0.5084,0.148,0.14275,68.829,46.937
52,1.4042,3.37,0.49295,0.1524,0.069397,0.063936,160.81,0.93959
53,2.516,4.2115,0.30879,0.60053,0.38423,0.32582,128.57,0.034651
54,1.2888,3.1454,0.54683,0.40031,0.22881,0.19823,87.538,76.202
55,1.5808,3.4737,0.4759,0.25856,0.13526,0.11918,44.024,166.64
56,2.9238,4.717,0.30864,0.28211,0.10288,0.096547,36.358,175.72
57,1.7996,3.6418,0.466,0.18192,0.124,0.1036,160.77,163.42
58,1.9409,3.7393,0.45032,0.21945,0.08103,0.077655,26.133,179.34
59,2.5292,3.8781,0.36149,0.58655,0.43245,0.35284,112.17,171.1
60,3.3038,4.1626,0.70913,1.6041,1.137,0.94529,35.795,25.845
61,2.0496,3.5598,0.47997,0.62204,0.48145,0.37275,129.45,175.49
62,2.5384,3.6144,0.43929,0.30941,0.20628,0.17138,79.348,124.3
63,2.1356,3.2896,0.53566,0.45603,0.24889,0.22835,116.79,9.7929
64,2.1553,2.8887,0.45475,0.40216,0.28963,0.22859,33.232,148.93
65,2.7356,3.4915,0.4447,0.12501,0.090919,0.073584,5.813,22.469
66,2.6148,3.115,0.48481,0.56023,0.50055,0.4128,139.35,6.413
67,3.0676,3.2929,0.54313,0.16647,0.13563,0.10639,62.625,162.02
68,2.9551,3.1085,0.38541,0.42195,0.31276,0.25136,25.103,162.69
69,2.439,2.7943,0.47875,0.28034,0.16402,0.14031,143.11,158.4
70,3.1582,3.1696,0.5055,0.25143,0.12351,0.11789,23.61,171.6
71,2.65,2.6671,0.45587,0.35185,0.23936,0.20506,25.072,173.18
72,3.5503,3.0924,0.49583,0.7646,0.43912,0.39145,100.1,13.493
73,2.9463,2.6405,0.35811,0.58659,0.35107,0.29935,151.43,1.6567
74,3.2911,2.7718,0.47071,0.2795,0.20852,0.16707,130.48,19.537
75,3.0992,2.7852,0.4491,0.33954,0.17436,0.16531,155.85,146.99
76,2.8558,2.4561,0.44294,0.15562,0.095757,0.082247,157.24,4.8873
77,3.1344,2.5147,0.46174,0.14896,0.080315,0.071027,170.86,175.99
78,2.9471,2.4018,0.46897,0.12457,0.084,0.07898,104.03,58.157
79,3.4632,2.7522,0.51548,0.13808,0.1021,0.083798,48.009,18.393
80,3.7389,2.8156,0.44906,0.31637,0.18853,0.16716,85.445,37.201
81,3.0639,2.3366,0.48225,0.14353,0.10442,0.084333,141.72,164.45
82,2.9685,2.241,0.43919,0.34977,0.16076,0.14667,142.08,20.904
83,3.9151,2.7501,0.42189,0.089543,0.067712,0.058657,19.553,57.628
84,3.1211,2.1932,0.47687,0.20154,0.099049,0.088842,4.6237,12.561
85,3.4216,2.4445,0.47306,0.60869,0.53519,0.39515,18.016,132.22
86,4.1167,2.7981,0.44041,0.28109,0.15817,0.13794,148.83,39.963
87,3.9786,2.6515,0.4405,0.18644,0.1358,0.11594,75.058,137.56
88,3.2187,2.12,0.4896,0.12483,0.064764,0.056506,175.42,11.463
89,4.3079,2.8486,0.4448,0.19166,0.078384,0.073058,160.96,176.74
90,3.8641,2.4597,0.42328,0.2929,0.16778,0.14571,135.97,167.29
91,3.3669,2.0042,0.62893,0.36882,0.23853,0.20179,163.28,171.77
92,3.1954,1.928,0.60077,0.30174,0.21768,0.17625,138.59,126.69
93,4.0788,2.4849,0.46382,0.13283,0.10606,0.097976,106.07,132.59
94,3.8953,2.3439,0.3767,0.51405,0.28311,0.2464,15.499,9.6489
95,3.6034,1.9671,0.65144,0.27235,0.22256,0.18829,161.68,168.34
96,4.045,2.3014,0.46506,0.13107,0.10378,0.083471,12.721,172.67
97,4.1334,2.3762,0.47099,0.13634,0.099854,0.0823,51.077,140.73
98,3.3327,1.7822,0.6295,0.15631,0.11872,0.10762,65.429,6.9468
99,3.6166,1.6417,0.48938,1.1752,0.51652,0.47191,104.33,61.689
100,3.9535,2.0533,0.48948,0.18462,0.13355,0.10821,162.89,178.93
101,4.0991,2.1488,0.62433,0.2777,0.17649,0.16078,114.88,65.221
102,4.1132,2.0204,0.5965,0.30899,0.24057,0.23277,98.911,91.677
103,3.9181,1.7816,0.52957,0.46457,0.31355,0.2571,52.251,145.98
104,4.369,2.0441,0.63143,0.26472,0.16708,0.16152,151.9,138.17
105,4.2979,1.8941,0.53853,0.077981,0.064809,0.051163,147.03,17.101
106,4.0518,1.2909,0.37172,0.3433,0.17094,0.15294,122.02,29.713
107,4.582,1.5177,0.49938,1.2154,0.88705,0.66072,24.725,170.68
108,4.1672,1.244,0.35749,0.1567,0.069208,0.063414,128.84,17.987
109,4.2758,1.0806,0.29575,0.21856,0.11423,0.10235,110.34,50.456
110,4.6374,0.81652,0.2495,0.20141,0.12141,0.10306,70.552,21.106
111,4.825,0.69236,0.23847,0.29497,0.24548,0.19005,51.632,170.39
112,4.9434,0.44353,0.2291,0.10776,0.069799,0.05829,10.509,166.52
113,5.0531,0.5024,0.23901,0.11627,0.079893,0.06904,99.409,17.895
114,5.3873,0.28333,0.064856,0.67761,0.31267,0.28695,118.53,5.1677
115,5.6229,0.54959,0.37405,0.25849,0.127,0.11387,48.111,2.6288
116,5.6821,0.29842,0.21264,0.87433,0.43976,0.40307,113.06,128.42
117,5.7816,0.21402,0.037389,0.11977,0.08682,0.068854,174.21,3.4117
118,6.0034,0.13388,0.11999,0.11263,0.093049,0.071732,119.46,44.089
119,2.374,6.4846,0.2856,0.23111,0.19457,0.14901,142.88,51.731
120,2.8147,5.7464,0.59951,1.4487,0.98855,0.82755,73.64,61.217
121,2.7712,5.3296,0.40594,0.23901,0.17609,0.14682,25.947,136.13
122,2.9121,5.4155,0.51388,0.11219,0.074157,0.06195,93.398,84.64
123,2.9117,5.267,0.4651,0.2129,0.12934,0.11505,13.988,131.95
